branch,pr,ancestor_of_main,cherry_unmerged,merges_clean,uniq_files,uniq_loc,behind,age_days,ci_failtest,verdict
copilot/loop-build-next-item-on-plan,closed#402,no,4,no,1701,158566,39,9,skip,CLOSE-SAFE
dependabot/npm_and_yarn/zod-4.4.3,open#422,no,1,yes,1505,158000,9,2,skip,KEEP
feat/sentry-nextjs,closed#296,no,635,yes,1952,166122,57,15,skip,CLOSE-SAFE
feat/vera-platform,closed#297,no,668,yes,1756,164911,57,12,skip,CLOSE-SAFE
fix/ralph-max-unclosed-demo-verification,closed#320,no,667,yes,1726,159582,57,12,skip,CLOSE-SAFE
fix/transcript-action-graceful-errors,closed#302,no,668,yes,1727,159653,57,12,skip,CLOSE-SAFE
fix/video-processor-pipeline-stubs,closed#298,no,672,yes,1723,158305,57,11,skip,CLOSE-SAFE
jules-12006327251276669115-4bbd6fbb,open#445,no,1,yes,1,8,0,0,skip,KEEP
jules-7557281686534642670-eb4948a9,open#446,no,1,yes,1,2,0,0,skip,KEEP
jules-7975870365122853693-d93780a1,merged#358,no,671,yes,1721,157529,57,10,skip,REVIEW
jules-9638972698930112439-d2c4ab7c,open#414,no,5,no,1677,158547,27,6,skip,KEEP
ralph-max-final2,closed#321,no,642,yes,1739,156415,57,13,skip,CLOSE-SAFE
ralph-max-final3,closed#322,no,643,yes,1739,156415,57,13,skip,CLOSE-SAFE
ralph-max-final4,closed#323,no,644,yes,1739,156412,57,13,skip,CLOSE-SAFE
test-index-analysis-grade-5389899992828549898,open#433,no,523,no,2991,165313,13,0,skip,KEEP
v0/ultrathinking-2b862801,none,yes,0,yes,1556,157999,15,2,skip,CLOSE-SAFE
v0/ultrathinking-48361bf4,none,yes,0,yes,400,71852,7,2,skip,CLOSE-SAFE
v0/ultrathinking-588aba59,none,no,598,yes,2833,167247,57,28,skip,REVIEW
v0/ultrathinking-6aaf1beb,merged#441,no,2,no,2,249,2,1,skip,REVIEW
v0/ultrathinking-6aaf1beb-2,none,yes,0,yes,400,71852,7,2,skip,CLOSE-SAFE
v0/ultrathinking-8ff3a2ce,none,no,638,yes,1742,156404,57,14,skip,REVIEW
v0/ultrathinking-f213cca6,open#444,no,1,yes,2,249,1,1,skip,KEEP
